description_id,certification_google_data_analytics,other_au,other_azure,other_b,other_business,other_computer_science,other_data_science,other_i,other_ibm_data_science_certificate,other_informatics,other_marketing,other_power,other_strong,other_table,skill_excel,skill_power_bi,skill_python,skill_r,skill_sql,skill_statistics,skill_tableau,salary,title,description,salary_numeric
2,0.3823897861102859,0.6674036540333814,1.877424762014236,1.5074373380943629,1.0861657517279075,-0.8766688190736094,0.0286685854038796,0.9739887856410372,1.2678204669365472,-0.2857949915464218,-0.6576656416018952,1.41326335101644,1.805341468779106,0.7677622721930275,1.2287828952369917,-0.5607212496924491,1.019410911471526,-0.9324447725894434,-1.0329012279167218,-1.1975494844493213,-0.4264554564843545,"$75,000 - $95,000",Business Data Analyst,Bachelor's degree in Business or related field. Proficiency in Excel and Tableau. Knowledge of Python is a plus.,85000.07594045157
1,1.4351567706854451,-0.9898684516091152,0.7591031454475496,0.062268206256835,-1.0779969008630963,-0.9792951632236324,-0.6196828133404149,-0.3480263364921256,-0.902861320246347,-1.1758109069751332,-1.4382654481638717,-0.0582807200026885,-1.697680610099367,0.628543042206233,-0.4540853228087746,1.834837194459469,2.940358397074981,-0.8816126117250638,1.882991702969019,-1.3964240390647733,0.5486753751535857,"$110,000 - $130,000",Senior Data Analyst,Master's in Data Science or similar field. Must have experience with Power BI and Azure. Python and R are essential.,119999.97442275751
6,-0.3172128909018332,-0.1429673397253804,-0.408660656313769,0.4788410262250163,-2.133769295091146,-0.3845548760026777,0.4453458798667349,0.0889511123094025,2.3445883720531078,-0.0020502832041296,1.1342125712780302,2.51863340714395,1.521862156600266,0.1040251155503909,0.378663643858642,0.1151094974428655,1.27270989779524,-0.7308602245038945,0.4800691773864935,-0.3116082340901669,2.521368270682302,"$70,000 - $90,000",Marketing Data Analyst,Bachelor's degree in Marketing or Statistics. Familiarity with data visualization tools like Tableau and Power BI.,79998.58983457142
6,-0.9451615776518592,-0.3194205579348439,0.5566051009671461,1.8812805478926224,-1.426419365564746,-0.4089324542471055,0.1428148779602476,1.7171835760577248,-1.1392358540291476,1.039908344124748,1.6203362557088157,2.002094258999959,-0.5421613353536977,-1.2068437755538952,1.2230894109482422,-2.5258409817672414,0.5408255166907577,0.4965046837128956,0.157373343051335,-0.0620546582180863,0.8857667424202883,"$70,000 - $90,000",Marketing Data Analyst,Bachelor's degree in Marketing or Statistics. Familiarity with data visualization tools like Tableau and Power BI.,79999.61935575318
1,0.8988316873862886,-1.0818671393889077,3.387285894132356,0.6215625752298309,-0.0035580909289982,0.1114914178684778,-0.2571105374724394,1.6852409249146618,-1.1404932869351,-0.9821473983215784,0.329339096926265,-0.9749230008499872,1.3893658580626826,-0.4669966816190208,0.8250986442720802,0.5450038567362305,-0.0141931842861315,-0.0318077865857164,0.0150979516810548,-1.3015276332400472,1.0191494419017215,"$110,000 - $130,000",Senior Data Analyst,Master's in Data Science or similar field. Must have experience with Power BI and Azure. Python and R are essential.,119999.5319145271
4,1.181951551796183,0.074247672221933,-3.003507219745111,-1.254477239293075,-0.3399194832953675,0.6274796742929302,0.8891172126216257,-2.068889313108257,-0.3981066540766826,-1.3608738321676106,-0.894263681211367,0.4803933446132133,-1.1101416916658982,-0.2581259054610412,-0.042917303638978,2.2067821005300337,1.926168638842557,0.5422104389526156,-0.3766417568753762,-1.236732573329994,1.292896351846978,"$65,000 - $80,000",Junior Data Analyst,"Bachelor’s degree or certification in analytics. Experience with Python, Excel, and Power BI.",72499.76778353813
3,0.6901227568899964,-0.3933094616661663,-0.980564135823782,0.9964118431102216,0.2349779576637806,-0.7336575742995869,0.2698381333935106,1.763191054568158,0.6218628073790454,-2.291235906161692,1.950107238906548,0.530556685757461,1.0215077038369078,1.3619787381340087,1.2372572426327113,-0.9127467842777506,-1.134608221825805,0.596154750887248,1.561393094760707,0.506620779686051,-0.3829017556502163,"$85,000 - $100,000",Data Analyst,Google Data Analytics certification preferred. Strong Excel and SQL required. Bachelor's degree desired.,92499.42997269511
4,0.560808754301089,-1.0464315553860095,0.6280524396030973,-0.3852912448466941,-1.2581838758603323,-0.3907907123808758,-0.2276764095885714,1.8227890930677784,2.924814758876316,1.4804286546856884,0.8787568289875289,-0.4994091845522214,-0.4936492599158731,0.9158768974776124,2.109202058776316,0.2667367536429386,1.4166161775366517,-0.513948174605412,0.6941197364356041,-0.2805596274017494,-1.7857653673233151,"$65,000 - $80,000",Junior Data Analyst,"Bachelor’s degree or certification in analytics. Experience with Python, Excel, and Power BI.",72501.57690798778
4,-1.6688042529072946,0.2381572936306131,-0.0322320689634482,0.3037941740607328,-0.3618145121566418,1.5832345875905487,0.2107649689718849,0.3843749483038595,0.8598249430687571,-0.0115680608424746,0.6232356671014426,-0.8015546600990506,0.7958793777076536,-0.8734523568397737,1.0047477189661496,0.357399092255167,1.1836895517984192,0.179750593834121,-1.5698333482114002,-1.005703286652354,-0.6758475598501129,"$65,000 - $80,000",Junior Data Analyst,"Bachelor’s degree or certification in analytics. Experience with Python, Excel, and Power BI.",72500.24235962438
0,-0.1958971205916879,0.0829095427095685,-0.5042404225330012,-0.012597156446338,1.6349056355712468,1.30243863302558,0.08277888169563,-0.0380466669659921,-1.8710587877250089,-0.3994511652702817,-0.2061751675631712,0.3727300156954489,1.4114098468845917,1.05347914643425,-0.0114119850122465,0.2021742973713234,1.429672378428974,1.2134726571648855,0.1434809927680786,0.5232867050807649,-0.4045782232438903,"$90,000 - $110,000",Data Analyst,Bachelor's degree in Statistics or Mathematics required. Strong skills in SQL and Python. Experience with Tableau preferred.,99998.96847622194
0,0.925095959967021,0.4219686348977883,1.009184712886959,-2.2436295520457223,1.0597834979842686,0.1590848259719112,-0.3354578576602142,0.1387310123296431,-0.83423297014289,0.2234392614392366,0.5419685716953426,0.2752038749114069,-1.0666844284397017,0.8465751377274104,0.5511757961612082,0.8729338580559084,0.9016818766722086,0.2828119129498636,1.490005229219196,1.6732734994156604,-2.083405918555959,"$90,000 - $110,000",Data Analyst,Bachelor's degree in Statistics or Mathematics required. Strong skills in SQL and Python. Experience with Tableau preferred.,99999.07774310642
0,-0.7889127864261792,0.22314697426563,-0.9137047793428746,0.4483918585291449,0.1938168950426078,-0.2223286190462271,0.2933661655044416,0.8637502840032744,-0.4939286227151682,-1.0149176759868626,-0.573968153225968,0.4900099065809117,0.9307672584654128,0.7347036186862221,-0.9921341202839984,-0.5743080547409921,0.513416681474399,0.6130494574849459,1.8114314984831377,-0.2154840212972848,0.559804921350676,"$90,000 - $110,000",Data Analyst,Bachelor's degree in Statistics or Mathematics required. Strong skills in SQL and Python. Experience with Tableau preferred.,100000.14316593263
4,0.6796404404751945,-1.141061901750214,0.1344558408091724,1.179109182246501,-1.5359054421652047,1.3317426573941673,-0.6378802084983228,0.3540953403520951,-0.5192467352396168,-1.116872176146514,-0.1382519435176795,-2.126804101512984,0.4037356369026002,0.0506393679890863,0.5124763064647861,2.207661115598853,0.349886553909988,0.5260451348394509,0.4624248822831481,0.7508340581651216,-1.0989851070235883,"$65,000 - $80,000",Junior Data Analyst,"Bachelor’s degree or certification in analytics. Experience with Python, Excel, and Power BI.",72499.26490358339
2,-0.2729555212788306,-0.559237435905793,1.300576465345739,-0.6807569697475462,1.9982879061698875,-0.509055035458492,0.112007452616527,-0.0109103007538317,1.0612099087058404,-0.6081866807148666,-0.9524477828365407,-0.4442630282751252,0.2296021927749643,-0.5704095599563491,0.0992908083398345,-0.7657619770435986,0.1530835175612822,-0.833640431661589,-0.0701150742323417,1.0137200559214128,0.3165169192456659,"$75,000 - $95,000",Business Data Analyst,Bachelor's degree in Business or related field. Proficiency in Excel and Tableau. Knowledge of Python is a plus.,85001.37524279581
7,2.020425543101392,-1.391140640697465,0.2244759721590171,0.8590451829062953,-1.1775379699718422,0.8158650680688482,1.8221237605960885,0.2332140802094971,0.8147850070797258,0.1871626632863045,-0.6300218043011655,-0.8390723176160054,0.1243859476272467,-0.1111673422462544,-1.406956889975528,-2.44772838666695,2.048108230531664,-0.4429621706920854,0.5314511917546082,0.922508914888076,-1.8910452225489047,"$105,000 - $125,000",Healthcare Data Analyst,"Master's degree in Health Informatics. Required skills: Python, SQL, Excel. Preferred: R, Tableau.",114999.35550698162
5,2.025289429543085,-1.0139283045851784,-0.507220687995545,-0.4844926557772535,-0.7363441509043356,0.2218195860021512,1.4458882198074712,-0.6830763410717079,-0.1039607438333973,-1.3238798966473486,0.647206862915438,0.904714049883946,0.6812910696525756,-0.5271659188194326,0.1266410023238629,0.2078991402488129,1.3761571562622386,1.1795400271867755,1.5669943129193131,-1.4774855774482247,-2.430101764631305,"$95,000 - $115,000",Data Analyst,"IBM Data Science Certificate, Bachelor's in Computer Science, strong skills in SQL, Python, and statistics.",105001.047686234
6,1.919654490920991,-1.0348430288068968,0.6350468310133851,1.0007203610707334,0.8834932073010413,-0.1005695662047477,1.5614307581166798,0.5418958592069876,-0.4291402517540053,0.1305539623204551,-1.8456656021670168,-0.8880563108360415,1.2076093171836322,-1.867956590103988,-0.0141206286837855,-1.2892658195476876,0.104026068503228,-0.5187741953581052,0.4023829673352089,-0.8784558329260919,-2.24930898440471,"$70,000 - $90,000",Marketing Data Analyst,Bachelor's degree in Marketing or Statistics. Familiarity with data visualization tools like Tableau and Power BI.,79998.95501738484
1,0.5236088341323325,-0.6447465394888535,-0.2630522872123795,0.5007302478213977,-1.2691782932281366,-1.9819367437574704,1.2251986859304067,-0.4091491162081062,-0.1259954018200765,-0.7896931143585569,2.655209381062335,0.7387145971385128,-0.6060304043633524,-0.2403035155411821,-1.6598970553654344,0.8992610567930229,1.4604234570268462,0.1460940085364791,-0.3648590003180242,-1.2337087915091678,-0.7446761529828231,"$110,000 - $130,000",Senior Data Analyst,Master's in Data Science or similar field. Must have experience with Power BI and Azure. Python and R are essential.,120001.01203630304
4,0.3295873748839916,0.1366934373644112,-0.0516306685695096,-0.2689742612516845,-0.2257010145159957,0.226261384849865,-0.7947407490163644,-0.0498028361573492,0.3980631236225902,-1.549241412703618,0.0589751262749137,0.627171443567244,2.5812492339773327,0.3670176045550004,0.9266958369635576,-0.6622297791679024,1.049136332560098,0.4537345237644239,-2.189746980618636,-0.0352427182524174,0.4614978252638478,"$65,000 - $80,000",Junior Data Analyst,"Bachelor’s degree or certification in analytics. Experience with Python, Excel, and Power BI.",72500.14594070238
1,1.890524805225318,0.1450843891599711,2.251037410133317,0.7459390321122157,-0.7656453811549996,-1.0022304304009495,0.1072339124688809,-1.192369515042989,1.4618224964543,0.455781377488755,-0.6215881094400699,-2.08802273190634,-0.0947123648588495,-0.3964074190074849,-0.1451987778034988,2.712114764872384,1.2113453525472957,-0.3889475485282494,-0.2330014471092281,-3.025291421198763,-1.0488898072638124,"$110,000 - $130,000",Senior Data Analyst,Master's in Data Science or similar field. Must have experience with Power BI and Azure. Python and R are essential.,119998.12315969796
1,-0.340475074126401,-0.2563776649812264,2.2564927582126337,-0.843141782935882,2.1969972037623435,-0.5227542254492464,0.8945649829043365,-0.4313006826897672,-1.6580438906706416,-0.6595323127544985,0.3440240616516805,0.0860611161927424,-1.074422249143172,-0.1706197361827304,-1.7130863221633237,1.1119483293360364,3.2387098890938586,1.0033768071772986,1.0275052502005793,0.9534332842764128,0.077111442039554,"$110,000 - $130,000",Senior Data Analyst,Master's in Data Science or similar field. Must have experience with Power BI and Azure. Python and R are essential.,119998.30800016296
1,-1.1282044958915314,-0.8414904881039624,0.0120030318104119,-1.894449499779857,-0.6088044423492736,0.2924865725633585,1.2637159624066128,0.3095613864924275,-1.5326805151142509,-1.2425523034833712,1.2185783033430693,-0.2837667219504003,-0.5628473127263531,-0.3877021642950295,0.4483598932082906,-0.8676919103367049,0.7391429507674551,-0.1281556743223655,0.3316438552369845,-0.0440212984033664,1.5629485280880038,"$110,000 - $130,000",Senior Data Analyst,Master's in Data Science or similar field. Must have experience with Power BI and Azure. Python and R are essential.,120002.34110745785
3,2.3815341625728585,-0.9504258011975596,-1.1279803110899038,0.723626999224575,-0.7842668237038538,0.3110287507563394,0.1651894960972557,0.0162681883521213,-0.2285387912193251,0.6270018938189651,-0.1756627074026398,0.0144951220779026,-0.4632641444606364,-0.9497688998118632,2.6197200629339634,-0.2478601769300071,0.6845792900062289,-0.3537177865308478,1.8705879227788824,-0.8410662138617412,0.2319968775427078,"$85,000 - $100,000",Data Analyst,Google Data Analytics certification preferred. Strong Excel and SQL required. Bachelor's degree desired.,92498.96791673102
4,0.4082699799141503,-0.9583289811423054,-1.2951019490764692,-0.6087790999467393,0.6333859082232801,0.8658881990499872,-1.2643934722331998,1.3576342212646408,0.7277798945760002,0.6387077723605261,1.5788726319041415,-0.4510000919628762,0.1112954508532205,-0.3231393331094666,1.127220293585612,0.8724494943136221,1.6125998922984963,-0.2449515933253933,0.1057430475825334,0.1069245537130011,-1.6203516400961018,"$65,000 - $80,000",Junior Data Analyst,"Bachelor’s degree or certification in analytics. Experience with Python, Excel, and Power BI.",72500.38870437996
1,-0.8424229129090991,-1.0347258457972903,0.0640672219504956,-0.0531322741868215,0.966584518610518,-0.784854312329124,1.3043967468173552,-2.169802599166715,0.2169530496895825,-0.030445862169513,0.3551302711751299,-0.0998023223495881,0.5508250750934411,-0.8401762968334604,-0.9842627321504722,1.2364942885750254,1.626397208362394,0.1772534597712496,0.0504301188225064,0.7986544657314399,-0.097266858736179,"$110,000 - $130,000",Senior Data Analyst,Master's in Data Science or similar field. Must have experience with Power BI and Azure. Python and R are essential.,119999.74677107822
0,-1.0286231867445343,3.1098910763185343,0.0551844181699937,-0.8689517708122464,0.6546856036948999,1.593508973200214,0.1805856497211212,1.4361514037617458,-0.6036287638195195,-1.225697469473724,1.1907162042823052,0.04571119657001,-0.3108376707481587,2.436604766307596,0.9010770363197452,0.3899633271020077,-0.957291455153218,-0.4548298649871866,1.073198771318046,2.155067761986869,-0.0897125490372968,"$90,000 - $110,000",Data Analyst,Bachelor's degree in Statistics or Mathematics required. Strong skills in SQL and Python. Experience with Tableau preferred.,99998.58880400837
1,0.527027540010482,-0.141367933505523,1.1055654349186048,-0.8168821799613494,-0.3963942370350646,1.2301037912076376,-0.7993838951529664,-1.2493813012276085,0.0438565546351335,-0.0397801426550013,-0.7960958215390525,-0.550263218851909,-0.9758213299741738,-0.2320375603999662,0.7840622092332256,1.9406743088085183,1.2077923229841696,-0.4473797679833693,-0.6458417505333209,-1.0639105897009384,0.781483129896657,"$110,000 - $130,000",Senior Data Analyst,Master's in Data Science or similar field. Must have experience with Power BI and Azure. Python and R are essential.,120002.49296941896
2,-0.7814527219846062,0.8382148957532085,0.1343519156938097,1.2501383855782613,1.392459632964979,-0.8273417860272969,-2.104330006123897,1.260878400541727,-0.8518015160419988,0.9697050721382804,-0.8278007194585653,-1.326563399340813,0.0979294386855253,-1.3908723629603117,1.8340295266388105,-1.0331825058833946,-0.2744734198788916,1.6554214798424578,-0.8879661012157867,1.9868343756307012,1.1098738263989456,"$75,000 - $95,000",Business Data Analyst,Bachelor's degree in Business or related field. Proficiency in Excel and Tableau. Knowledge of Python is a plus.,84999.67647860477
4,-1.6825479526720353,-0.3885146389731109,-2.1600649957238933,-0.1458149078919448,1.6905488612628483,-2.431670807980628,-0.1779659549357145,0.2776494470148936,-0.5161562852035311,-0.9307183523597622,-0.3435854446714611,0.9125925227091845,-0.7721487422357017,0.933182544023066,1.6895712531409282,1.0645290993440115,1.9527604247842103,0.739972455141022,1.826280570478323,0.5105596263102768,-0.4975688295279954,"$65,000 - $80,000",Junior Data Analyst,"Bachelor’s degree or certification in analytics. Experience with Python, Excel, and Power BI.",72500.08392992815
4,-0.0590932170608313,-1.345643466203161,0.1667287612015858,-0.7581003585981682,0.2861853305592735,-0.2790081702184063,-0.7476972091984155,-0.3803371751891784,-1.3190012736609575,0.932733950112099,-0.6348221320089272,-2.706145693406831,0.0149689381714596,0.5170138876877857,2.2581098056018143,0.2956177343870872,1.592337739823186,-0.1664454900678159,-0.741997338898874,-0.8587676488767069,0.6950172173602833,"$65,000 - $80,000",Junior Data Analyst,"Bachelor’s degree or certification in analytics. Experience with Python, Excel, and Power BI.",72501.10882068076
4,0.2409368103549151,0.4729175691579085,2.63135208731581,0.2115293258413357,0.2427874674904431,0.8753872280281012,1.1942174357083837,-1.4575014105730535,-0.428098784238474,-0.7169325406534143,0.4240098094793285,-0.2529338571130229,-1.1437725741813412,1.0238912978828805,1.4449744347233398,0.3748504431151082,0.8781514659228203,0.0615970922819211,0.5427098062258401,0.8987983276232391,-0.6608661465787546,"$65,000 - $80,000",Junior Data Analyst,"Bachelor’s degree or certification in analytics. Experience with Python, Excel, and Power BI.",72501.01886876405
7,0.093824579854346,-0.9286851673187922,1.2888541047210602,0.4083218083125681,-0.8062956787737888,-0.2990364005724279,0.512796918977333,-0.1087362612392373,0.5661818428013046,-0.205269226166219,1.3578726698826171,0.8878780437280884,-0.2043812459036883,1.076699921291137,0.7077735502909506,-0.229456939974158,1.6544991593219889,0.0980656804549636,2.21325402856516,-0.276649592703701,-0.5831277123102221,"$105,000 - $125,000",Healthcare Data Analyst,"Master's degree in Health Informatics. Required skills: Python, SQL, Excel. Preferred: R, Tableau.",114999.04071052022
1,-1.6513576468460718,0.929253617122003,0.8403673879566143,-0.7227446631734835,1.976352717611108,1.9616361735428471,1.1267269676599214,-0.3263890650264998,1.4775655359199948,-0.4011236498622218,-0.1795617780867062,-0.4978967570932059,-0.391700692029386,-1.0410716319483109,0.8504140719035816,0.6548399297295082,1.4642050616233302,0.3958856424660371,2.7449940185762527,1.341152258278996,0.2662187283886962,"$110,000 - $130,000",Senior Data Analyst,Master's in Data Science or similar field. Must have experience with Power BI and Azure. Python and R are essential.,120000.77900236969
3,-0.8802511054272713,-0.5990580523568795,-0.0985541938639682,-0.3822836060222892,0.583372241149639,-0.625381027090372,-0.0452427243899614,-0.9207186114081924,0.804151860015088,1.1620176705225709,0.7985574606657708,0.3367898933560203,0.893642628554143,-0.7429728928713384,2.100078761220602,-0.8023804583860067,0.5321157551635172,-1.855875156420595,3.585184026979729,-0.1459636377840814,0.2126934266101524,"$85,000 - $100,000",Data Analyst,Google Data Analytics certification preferred. Strong Excel and SQL required. Bachelor's degree desired.,92498.0629574836
7,-0.3715699938311756,0.7477086100239032,-0.0737611073041456,-0.1365484812017205,0.0343807104163443,0.3047315629071004,0.5627148129672037,0.0252207684921812,0.6575408119667409,1.1998405839326771,-0.4008567106806265,-1.1072296775553414,-0.8542401763486216,-0.0695242001056213,2.2674809232789435,-0.2169168474637048,2.28572975229185,1.0316254406714669,0.0435129950426453,0.6359494230674286,-2.4639022286805643,"$105,000 - $125,000",Healthcare Data Analyst,"Master's degree in Health Informatics. Required skills: Python, SQL, Excel. Preferred: R, Tableau.",114999.8616430512
7,-0.1470073686562921,-0.920543726164534,0.6022248622628645,1.7084931074284226,-0.439361755749055,1.2474532722990446,-0.1901081864173648,-1.8239022297945229,0.1147474187189672,0.7920488694374516,0.9559428465066546,0.9566822910572648,1.2366088802595272,1.830065892389586,1.0832653827373366,1.5134958528937756,0.4192650876998296,0.0641927115246107,0.6710180263036538,0.1696782515439784,-0.24043909141431,"$105,000 - $125,000",Healthcare Data Analyst,"Master's degree in Health Informatics. Required skills: Python, SQL, Excel. Preferred: R, Tableau.",115000.53891486446
5,-0.9481448779548453,2.212792536127403,-0.0512267972770477,-0.9787190704151202,0.8055487666840027,1.140032565980006,1.2084155110426655,-0.0397933830599322,1.1181792593077748,-0.8521878972075544,-0.2836443854955943,-0.1345700775691291,1.6603052676808034,0.2222266142192828,0.1921094357232543,-1.5749887520161578,2.489638611679577,0.0554142023429555,3.1306651631102023,1.1431961473356314,0.7316010347279973,"$95,000 - $115,000",Data Analyst,"IBM Data Science Certificate, Bachelor's in Computer Science, strong skills in SQL, Python, and statistics.",105000.37730356053
5,-1.586506983078777,-1.462607216599477,-0.723636074729826,-0.5239349617519908,-1.4788110991115422,2.3671151904486907,-2.2384991154220244,1.026365031781615,-0.3547202236852453,-0.3399253384495343,-1.228162905539027,1.417811495037818,-0.7763090067744172,-0.6231099948399801,1.2414294532886252,0.1774824001734896,1.7944488361400932,0.852371481663493,0.020548295995979,1.5123568815878354,-0.3977486583481268,"$95,000 - $115,000",Data Analyst,"IBM Data Science Certificate, Bachelor's in Computer Science, strong skills in SQL, Python, and statistics.",105001.06858825708
4,-1.2010468526731088,0.0939311825647781,1.9463768795560004,-0.3879957185661861,-0.3246240639781585,-0.0751868658879977,0.6583916154773851,0.1462388901698559,-0.6879010977581103,-0.268894711131923,0.4855920806516459,-0.1079146353698179,0.3222473045060705,1.7053309565695527,1.351207713177391,0.5446944565044154,1.0707645431794148,-1.842737819291599,-1.3798196489872063,0.4198071517920263,-1.3503767128460078,"$65,000 - $80,000",Junior Data Analyst,"Bachelor’s degree or certification in analytics. Experience with Python, Excel, and Power BI.",72500.8036438254
5,-0.5978302066250261,-0.735818059797183,0.8816388636427499,-0.5480572229226913,-0.0317109320856602,1.5001606546863195,-1.9085150107356503,-0.4205172583249663,2.2787213690123718,0.4505775066723442,-1.559697424732101,0.5781947276569401,1.564115282603762,-0.6492681904149158,-1.0436198492112911,1.9515906811646304,1.6868171321790268,-0.8047730884085865,0.579610696967295,0.4427777599949908,2.652404255669005,"$95,000 - $115,000",Data Analyst,"IBM Data Science Certificate, Bachelor's in Computer Science, strong skills in SQL, Python, and statistics.",105000.75681155604
5,0.6330960057471062,1.2171497903579205,2.059551836547286,-1.2039132075086376,-0.4645477719949276,2.2489612065451148,-1.2161929295912266,-0.175524372527217,3.194708446869712,-0.7659334246149164,-0.5253582179536911,0.8771115857298174,0.0869421265969624,0.4629071759628131,0.2152419634447204,-0.6759200307516007,1.15050493324462,-0.1344099763740011,0.3678548155299824,-1.0743367324722803,1.1869012628556057,"$95,000 - $115,000",Data Analyst,"IBM Data Science Certificate, Bachelor's in Computer Science, strong skills in SQL, Python, and statistics.",105000.19862399444
